order_id,order_date,region,category,product,units,unit_price,revenue,customer_id,product_id
1,2025-01-16,North,Outdoor,Hiking Boots,2,1460.81,2921.62,94,3
2,2025-01-12,North,Outdoor,Camping Tent,4,941.0,3764.0,70,2
3,2025-01-19,North,Outdoor,Hiking Boots,2,1463.86,2927.72,23,3
4,2025-01-10,North,Outdoor,Trail Backpack,1,3645.17,3645.17,87,1
5,2025-01-19,North,Outdoor,Camping Tent,2,2007.66,4015.32,99,2
6,2025-01-21,North,Outdoor,Trail Backpack,6,492.85,2957.1,20,1
7,2025-01-06,North,Outdoor,Hiking Boots,1,2199.1,2199.1,62,3
8,2025-01-03,North,Outdoor,Camping Tent,1,4350.13,4350.13,76,2
9,2025-01-25,North,Outdoor,Camping Tent,5,809.94,4049.7,66,2
10,2025-01-13,North,Outdoor,Camping Tent,3,1416.56,4249.68,43,2
11,2025-01-20,North,Outdoor,Camping Tent,2,1714.52,3429.04,82,2
12,2025-01-28,North,Outdoor,Trail Backpack,7,462.52,3237.64,46,1
13,2025-01-24,North,Outdoor,Hiking Boots,5,393.84,1969.2,41,3
14,2025-01-04,North,Outdoor,Camping Tent,1,3533.5,3533.5,68,2
15,2025-01-24,North,Outdoor,Trail Backpack,4,1028.9,4115.6,46,1
16,2025-01-18,North,Electronics,Smart Speaker,7,447.67,3133.69,20,5
17,2025-01-29,North,Electronics,Wireless Earbuds,8,411.04,3288.32,70,4
18,2025-01-10,North,Electronics,Smart Speaker,7,506.97,3548.79,56,5
19,2025-01-27,North,Electronics,Action Camera,5,874.95,4374.75,40,6
20,2025-01-13,North,Electronics,Action Camera,4,1323.64,5294.56,57,6
21,2025-01-10,North,Electronics,Smart Speaker,4,1000.07,4000.28,56,5
22,2025-01-17,North,Electronics,Smart Speaker,7,631.64,4421.48,35,5
23,2025-01-28,North,Electronics,Wireless Earbuds,6,811.94,4871.64,31,4
24,2025-01-18,North,Electronics,Wireless Earbuds,4,728.83,2915.32,8,4
25,2025-01-10,North,Electronics,Action Camera,4,994.81,3979.24,90,6
26,2025-01-28,North,Electronics,Action Camera,3,1684.74,5054.22,58,6
27,2025-01-18,North,Electronics,Wireless Earbuds,4,787.29,3149.16,91,4
28,2025-01-01,North,Electronics,Smart Speaker,1,3621.81,3621.81,41,5
29,2025-01-12,North,Electronics,Smart Speaker,3,779.42,2338.26,85,5
30,2025-01-12,North,Electronics,Action Camera,1,3371.21,3371.21,65,6
31,2025-01-03,North,Clothing,Running Shorts,6,506.12,3036.72,81,9
32,2025-01-22,North,Clothing,Merino Sweater,2,1639.54,3279.08,75,8
